epoch	iso_utc	elapsed_s	gpu	name	util_pct	mem_used_mb	mem_total_mb	ours	ctrl_alive	trials	champion
1787335088.449	2026-08-21T17:58:08Z	36004	2	NVIDIA H200	91	1983	143771	no	alive	146	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	3	NVIDIA H200	19	2229	143771	no	alive	146	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	4	NVIDIA H200	100	25002	143771	no	alive	146	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	5	NVIDIA H200	87	1979	143771	no	alive	146	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	6	NVIDIA H200	87	1983	143771	no	alive	146	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	7	NVIDIA H200	90	1979	143771	no	alive	146	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	0	NVIDIA H200	0	2187	143771	yes	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	1	NVIDIA H200	21	1140	143771	no	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	2	NVIDIA H200	20	1140	143771	no	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	3	NVIDIA H200	21	2229	143771	no	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	4	NVIDIA H200	100	25001	143771	no	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	5	NVIDIA H200	19	1140	143771	no	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	6	NVIDIA H200	20	1140	143771	no	alive	148	0.967286
1787336888.658	2026-08-21T18:28:08Z	37804	7	NVIDIA H200	21	1139	143771	no	alive	148	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	0	NVIDIA H200	0	2187	143771	yes	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	1	NVIDIA H200	99	5873	143771	no	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	2	NVIDIA H200	99	5873	143771	no	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	3	NVIDIA H200	19	2229	143771	no	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	4	NVIDIA H200	100	25001	143771	no	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	5	NVIDIA H200	20	1140	143771	no	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	6	NVIDIA H200	21	1140	143771	no	alive	150	0.967286
1787338688.863	2026-08-21T18:58:08Z	39604	7	NVIDIA H200	21	1355	143771	no	alive	150	0.967286
